Optimized Ext3 Par ell0=2 NV=18                                   4.145 ms
Optimized Ext3 Par ell0=2 NV=19                                   7.380 ms
Optimized Ext3 Par ell0=2 NV=20                                  14.261 ms
Optimized Ext3 Par ell0=2 NV=21                                  31.100 ms
Optimized Ext3 Par ell0=2 NV=22                                  83.821 ms
Optimized Ext3 Par ell0=2 NV=23                                 165.888 ms
Optimized Ext3 Par ell0=2 NV=24                                 324.608 ms
Optimized Ext3 Par ell0=2 NV=25                                 572.494 ms
Optimized Ext3 Par ell0=2 NV=26                                1118.719 ms
Optimized Ext3 Par ell0=2 NV=27                                2299.616 ms
Optimized Ext3 Par ell0=2 NV=28                                4464.851 ms
Optimized Ext3 ell0=3 NV=18                                       8.008 ms
Optimized Ext3 ell0=3 NV=19                                      16.490 ms
Optimized Ext3 ell0=3 NV=20                                      35.210 ms
Optimized Ext3 ell0=3 NV=21                                      72.555 ms
Optimized Ext3 ell0=3 NV=22                                     164.574 ms
Optimized Ext3 ell0=3 NV=23                                     321.184 ms
Optimized Ext3 ell0=3 NV=24                                     644.698 ms
Optimized Ext3 ell0=3 NV=25                                    1269.163 ms
Optimized Ext3 ell0=3 NV=26                                    2601.470 ms
Optimized Ext3 ell0=3 NV=27                                    5197.000 ms
Optimized Ext3 ell0=3 NV=28                                   10231.964 ms
Optimized Ext3 Par ell0=3 NV=18                                   8.057 ms
Optimized Ext3 Par ell0=3 NV=19                                  16.449 ms
Optimized Ext3 Par ell0=3 NV=20                                  35.025 ms
Optimized Ext3 Par ell0=3 NV=21                                  72.766 ms
Optimized Ext3 Par ell0=3 NV=22                                 164.275 ms
Optimized Ext3 Par ell0=3 NV=23                                 367.173 ms
Optimized Ext3 Par ell0=3 NV=24                                 728.627 ms
Optimized Ext3 Par ell0=3 NV=25                                1296.096 ms
Optimized Ext3 Par ell0=3 NV=26                                2617.296 ms
Optimized Ext3 Par ell0=3 NV=27                                5197.228 ms
Optimized Ext3 Par ell0=3 NV=28                               10295.494 ms
