Ext3 prov128 Commit Par NV=27 split=3                         25099.179 ms

Ext3 prov128 Commit NV=18 split=4                                48.520 ms
Ext3 prov128 Open NV=18 split=4                                  33.774 ms
Ext3 prov128 Commit NV=19 split=4                               110.848 ms
Ext3 prov128 Open NV=19 split=4                                  66.435 ms
Ext3 prov128 Commit NV=20 split=4                               250.405 ms
Ext3 prov128 Open NV=20 split=4                                 139.243 ms
Ext3 prov128 Commit NV=21 split=4                               587.231 ms
Ext3 prov128 Open NV=21 split=4                                 283.337 ms
Ext3 prov128 Commit NV=22 split=4                              1489.799 ms
Ext3 prov128 Open NV=22 split=4                                 559.900 ms
Ext3 prov128 Commit NV=23 split=4                              3433.795 ms
Ext3 prov128 Open NV=23 split=4                                1344.728 ms
Ext3 prov128 Commit NV=24 split=4                              8230.054 ms
Ext3 prov128 Open NV=24 split=4                                2783.596 ms
Ext3 prov128 Commit NV=25 split=4                             19498.103 ms
Ext3 prov128 Open NV=25 split=4                                5883.342 ms
Ext3 prov128 Commit NV=26 split=4                             44722.578 ms
Ext3 prov128 Open NV=26 split=4                               12065.874 ms
Ext3 prov128 Commit NV=27 split=4                            101754.489 ms
Ext3 prov128 Open NV=27 split=4                               24085.556 ms
Ext3 prov128 Commit Par NV=18 split=4                             9.293 ms
Ext3 prov128 Open Par NV=18 split=4                              20.834 ms
Ext3 prov128 Commit Par NV=19 split=4                            19.711 ms
Ext3 prov128 Open Par NV=19 split=4                              38.315 ms
Ext3 prov128 Commit Par NV=20 split=4                            56.853 ms
Ext3 prov128 Open Par NV=20 split=4                              69.952 ms
Ext3 prov128 Commit Par NV=21 split=4                           219.635 ms
Ext3 prov128 Open Par NV=21 split=4                             133.705 ms
Ext3 prov128 Commit Par NV=22 split=4                           276.998 ms
Ext3 prov128 Open Par NV=22 split=4                             265.504 ms
Ext3 prov128 Commit Par NV=23 split=4                           621.347 ms
Ext3 prov128 Open Par NV=23 split=4                             542.113 ms
Ext3 prov128 Commit Par NV=24 split=4                          1532.767 ms
Ext3 prov128 Open Par NV=24 split=4                            1083.290 ms
Ext3 prov128 Commit Par NV=25 split=4                          3646.493 ms
Ext3 prov128 Open Par NV=25 split=4                            2222.115 ms
Ext3 prov128 Commit Par NV=26 split=4                          9264.511 ms
Ext3 prov128 Open Par NV=26 split=4                            4521.174 ms
Ext3 prov128 Commit Par NV=27 split=4                         21683.195 ms
Ext3 prov128 Open Par NV=27 split=4                            9046.301 ms

Ext3 prov128 Commit NV=18 split=5                                45.082 ms
Ext3 prov128 Open NV=18 split=5                                  31.523 ms
Ext3 prov128 Commit NV=19 split=5                               103.511 ms
Ext3 prov128 Open NV=19 split=5                                  63.930 ms
Ext3 prov128 Commit NV=20 split=5                               226.455 ms
Ext3 prov128 Open NV=20 split=5                                 125.939 ms
Ext3 prov128 Commit NV=21 split=5                               505.455 ms
Ext3 prov128 Open NV=21 split=5                                 268.110 ms
Ext3 prov128 Commit NV=22 split=5                              1194.757 ms
Ext3 prov128 Open NV=22 split=5                                 583.821 ms
Ext3 prov128 Commit NV=23 split=5                              3188.210 ms
Ext3 prov128 Open NV=23 split=5                                1169.525 ms
Ext3 prov128 Commit NV=24 split=5                              7500.158 ms
Ext3 prov128 Open NV=24 split=5                                2539.425 ms
